№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Barcelona,38,26,9,3,90,36,87,83.28-6.72,44.93+8.93,73.96-13.04
2,Atletico Madrid,38,22,10,6,55,29,76,51.87-3.13,41.43+12.43,59.43-16.57
3,Real Madrid,38,21,5,12,63,46,68,68.65+5.65,48.68+2.68,64.77-3.23
4,Valencia,38,15,16,7,51,35,61,61.88+10.88,42.85+7.85,65.16+4.16
5,Sevilla,38,17,8,13,62,47,59,69.16+7.16,46.71-0.29,65.08+6.08
6,Getafe,38,15,14,9,48,35,59,47.03-0.97,44.23+9.23,53.19-5.81
7,Espanyol,38,14,11,13,48,50,53,50.16+2.16,54.62+4.62,50.09-2.91
8,Athletic Club,38,13,14,11,41,45,53,44.44+3.44,47.16+2.16,50.01-2.99
9,Real Sociedad,38,13,11,14,45,46,50,47.99+2.99,48.09+2.09,51.13+1.13
10,Real Betis,38,14,8,16,44,52,50,51.68+7.68,53.54+1.54,52.39+2.39
11,Alaves,38,13,11,14,39,50,50,40.87+1.87,54.53+4.53,44.02-5.98
12,Eibar,38,11,14,13,46,50,47,56.63+10.63,47.88-2.12,56.75+9.75
13,Leganes,38,11,12,15,37,43,45,41.25+4.25,43.94+0.94,51.15+6.15
14,Villarreal,38,10,14,14,49,52,44,54.80+5.80,56.12+4.12,52.18+8.18
15,Levante,38,11,11,16,59,66,44,54.09-4.91,78.86+12.86,40.23-3.77
16,Celta Vigo,38,10,11,17,53,62,41,48.70-4.30,63.43+1.43,41.63+0.63
17,Real Valladolid,38,10,11,17,32,51,41,41.64+9.64,57.65+6.65,41.80+0.80
18,Girona,38,9,10,19,37,53,37,42.99+5.99,55.33+2.33,45.17+8.17
19,SD Huesca,38,7,12,19,43,65,33,51.38+8.38,63.43-1.57,44.96+11.96
20,Rayo Vallecano,38,8,8,22,41,70,32,47.23+6.23,62.32-7.68,43.02+11.02
